tt,id_bv,name,khoa,gio_kham_bt,gio_kham_ng,gio_kham_dv,kham_dv,ghi_chu,nguoi_dien,link,,,,,,,,,,,,,,,,,,
11,ĐK BVTP11,Bệnh viện đa khoa khu vực Củ Chi,"Khoa Nội Tổng quát
Khoa Nội Thần kinh
Khoa Nội Tim mạch
Khoa Ngoại Thần kinh
Khoa Ngoại Chỉnh hình
Khoa Ngoại Tổng quát
Khoa Dược
Khoa Sản
Khoa Nhi
Khoa Thận Nhân tạo
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Kiểm soát nhiễm khuẩn
Khoa Dinh dưỡng tiết chế
Khoa Y học Cổ truyền
Khoa Khám bệnh
Khoa Phẫu thuật gây mê hồi sức
Khoa ICU (Hồi sức tích cực và chống độc)
Khoa Cấp cứu
Khoa Liên chuyên khoa.","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,,,,,,,,,,,,,,,,,,,
12,ĐK BVTP12,Bệnh viện đa khoa khu vực Hóc Môn,"Khoa Nội Thận
Khoa Nội Thần kinh
Khoa Nhi
Khoa Chẩn đoán hình ảnh
Khoa Cấp cứu tổng hợp
Khoa Khám bệnh
Khoa Hồi sức Tổng hợp và Chống độc
Khoa Nội Tim mạch Lão học
Khoa Nội tổng hợp
Khoa Phụ sản
Khoa Nội tiết
Khoa Ngoại Chỉnh hình bỏng
Khoa Phẫu thuật gây mê hồi sức
Khoa Ngoại tổng quát
Khoa Liên chuyên khoa
Khoa Vật lý trị liệu và Phục hồi chức năng
Khoa Y học cổ truyền
Khoa Xét nghiệm
Khoa Kiểm soát nhiễm khuẩn
Khoa Dược
Tổ Dinh dưỡng, tiết chế.","6:30 AM - 11:30 AM
1:00 PM - 4:00 PM","6:30 AM - 11:30 AM
",,1,,Thảo Lê,http://bvdkhocmon.vn/,,,,,,,,,,,,,,,,,,
13,ĐK BVTP13,Bệnh viện Đa khoa Khu vực Thủ Đức,"Khối cận lâm sàng
+, Khoa chẩn đoán hình ảnh

+, Kiểm soát nhiễm khuẩn

+, Khoa xét nghiệm

+, Khoa dược

+, Đơn vị dinh dưỡng

Khối ngoại
+, Ngoại tổn hợp

+, Ngoại thần kinh

+, Chấn thương chỉnh hình

+, Gây mê hồi sức

+, Khoa sản

+, Khoa mắt

+, Tai- Mũi- Họng

+, Khoa răng hàn mặt

Khối nội
+, Khoa khám bệnh

+, Hồi sức TC- CĐ

+, Khoa cấp cứu

+, Khoa nội tim mạch

+, Nội tổng hợp

+, Khoa nội tiêu hóa

+, Nội thận- Tiết niệu

+, Nội tiết

+, Khoa nhi

+, Khoa nhiễm

+, Y học cổ truyền","Thứ 2 - thứ 7: 7:00 AM - 12:00 PM
1:00 PM - 4:00 PM",,,1,,Thảo Lê,http://www.benhvienkhuvucthuduc.vn/gioi-thieu/,,,,,,,,,,,,,,,,,,
14,ĐK BVQH1,Bệnh viện Quận Thủ Đức,"Khối cận lâm sàng:
Khoa chuẩn đoán hình ảnh
Huyết học truyền máu
Khoa sinh hóa
Khoa vi sinh
Khối hậu cần
Phòng vật tư- Trang thiết bị y tế
Khoa kiểm soát miễn dịch
Khoa dược
Khối hồi sức:
Khoa cấp cứu
Nội thận- thận nhân tạo
Hồi sức tích cực- chống độc A
Khối ngoại
Khoa sản
Gây mê- hồi sức
Khoa mắt
Ngoại chấn thương chỉnh hình
Răng- Hàm- Mặt
Ngoại lồng ngực- mạch máu
Khoa ngoại thần kinh
Tai- Mũi- Họng
Khối nội
Khoa da liễu
Dinh dưỡng
Nội tiết
Y học cổ truyền- Vật lý trị liệu
Khoa nội thần kinh
Nội tổng hợp
Nội tim mạch não học
Dinh dưỡng tiết chế
Khoa khám bệnh
Dịch vụ
Khoa nhi","6:30 AM - 11:00 AM
1:00 PM - 4:30 PM",,,1,Nghỉ cuối tuần,Thảo Lê,https://benhvienthuduc.vn/,,,,,,,,,,,,,,,,,,
15,ĐK BVQH2,Bệnh viện Quận 1,"Khoa Khám bệnh
Khoa Cấp cứu
Khoa Cấp cứu hồi sức chống độc
Khoa Nội tiết
Khoa Nội nhi
Khoa sản
Khoa Tiểu phẫu
Khoa Thẩm mỹ
Khoa Tai Mũi Họng
Khoa Răng Hàm Mặt
Khoa Da liễu
Khoa Vật lý trị liệu
Khoa Điện tim
Khoa Điện tim
Khoa Chích ngừa
Khoa Nội soi
Khoa Chuẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Siêu âm.","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",Thứ 7,,1,,Thảo Lê,https://bvq1.vn/,,,,,,,,,,,,,,,,,,
16,ĐK BVQH3,Bệnh viện Quận 2,"Khoa Cấp Cứu
Khoa Khám Bệnh
Khoa Thận Nhân Tạo
Ngoại Chấn Thương Chỉnh Hình
Khoa Ngoại
Nội Tổng Hợp
Khoa Sản
Gây Mê Hồi Sức
Khoa Hồi Sức Tích Cực Chống Độc
Khoa Dược
Dinh Dưỡng
Khoa Xét Nghiệm
Khoa Nội Tim Mạch
Chẩn Đoán Hình Ảnh Thăm Dò Chức Năng","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,"Thứ 2, 4, 6: 4:30 PM - 7:00 PM",1,Không khám chủ nhật,Thảo Lê,https://benhvienquan2.vn/,,,,,,,,,,,,,,,,,,
17,ĐK BVQH4,Trung tâm Y tế Quận 3 - Cơ sở 1,"Khoa ngoại tổng quát
Khoa nội tổng quát
Khoa Hồi sức cấp cứu
Khoa Thận tiết niệu
Khoa Tai Mũi Họng
Khoa Răng – Hàm – Mặt
Khoa Mắt
Khoa Da Liễu
Khoa Gây mê hồi sức
Khoa Xét nghiệm
Khoa Chẩn đoán hình ảnh
Khoa Dược","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,"Nghỉ thứ bảy, chủ nhật",Thảo Lê,http://trungtamytequan3.medinet.gov.vn/Default.aspx?desktop=1,,,,,,,,,,,,,,,,,,
18,ĐK BVQH5,Bệnh viện Quận 4,"Khoa Khám bệnh
Khoa Cấp cứu
Khoa Xét nghiệm
Khoa Chẩn đoán hình ảnh
Khoa Nội
Khoa Ngoại
Khoa Sản
Liên Chuyên khoa
Khoa Y học cổ truyền
Khoa Chống nhiễm khuẩn
Khoa Dược
Khoa Nhi
Khoa Dinh dưỡng",6:30 AM - 4:30 PM,"4:30 PM - 6:00 PM
Thứ 7: 7:00 AM - 11:30 AM
1:30 PM - 4:00 PM",,1,,Thảo Lê,http://benhvienquan4.vn/,,,,,,,,,,,,,,,,,,
19,ĐK BVQH6,Bệnh viện Quận 5,"Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Nội Tổng Quát
Khoa Tai Mũi Họng
Khoa Y Học Cổ Truyền
Nha Khoa
Nhãn Khoa
Nhi Khoa
Phụ Khoa
Sản Khoa","7:30 AM - 5:00 PM
Thứ 7: 8:00 AM - 11:00 AM",,,1,,Thảo Lê,,,,,,,,,,,,,,,,,,,
20,ĐK BVQH7,Bệnh viện Quận 6,"Khoa cấp cứu, hồi sức tích cực và chống độc.
Khoa nội
Chuyên khoa ngoại
Khoa sản
Khoa nhi
Chuyên khoa khám bệnh
Khoa y học cổ truyền
Chuyên khoa dược
Khoa xét nghiệm – chẩn đoán hình ảnh
Kiểm soát nhiễm khuẩn
Khoa dinh dưỡng","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",7:30 AM - 11:00 AM,,1,,Thảo Lê,http://bvquan6.medinet.gov.vn/gioi-thieu-c1605.aspx,,,,,,,,,,,,,,,,,,
21,ĐK BVQH8,Bệnh viện Quận 7,"Khoa liên chuyên khoa
khoa sản
khoa nội
khoa ngoại
khoa nhi
khoa cận lâm sàng
khoa dược
khoa dinh dưỡng","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,Không làm cuối tuần,Thảo Lê,http://www.benhvienquan7.com.vn/,,,,,,,,,,,,,,,,,,
22,ĐK BVQH9,Bệnh viện Quận 8,"Khoa khám bệnh
Khoa liên chuyên khoa
Đơn vị thận nhân tạo
Khoa nội tổng quát
Khoa ngoại tổng quát
Khoa sản
Khoa nhi – nhiễm
Khoa Y học cổ truyền – Vật lý trị liệu
Khoa dinh dưỡng
Khoa cận lâm sàng
Khoa kiểm soát nhiễm khuẩn
Khoa Dược","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",7:00 AM - 11:30 AM,,1,,Thảo Lê,http://bvquan8.medinet.gov.vn/,,,,,,,,,,,,,,,,,,
23,ĐK BVQH10,Bệnh viện Quận 9,"Khoa cấp cứu
Khoa sản
Khám bệnh
Khoa nhi
Nội tổng hợp
Nội thận lọc máu
Liên khoa Mắt- Tai- Mũi- Họng
Ngoại khoa tổng hợp
Răng- Hàm- Mặt
Khoa dược
Chuẩn đoán hình ảnh
Khoa xét nghiệm","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",7:00 AM - 11:30 AM,,1,Nghỉ chủ nhật,Thảo Lê,http://bvquan9.medinet.gov.vn/,,,,,,,,,,,,,,,,,,
24,ĐK BVQH11,Bệnh viện Quận 10,"Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Da Liễu
Khoa Dược
Khoa Ngoại Tổng Quát
Khoa Nội Tổng Quát
Khoa Nội Tuần Hoàn
Khoa Tai Mũi Họng
Khoa Thận - Nội tiết
Khoa Y Học Cổ Truyền
Lão Khoa
Nha Khoa
Nhãn Khoa
Nhi Khoa
Sản Khoa",7:00 AM - 5:00 PM,7:00 AM - 11:30 AM,,1,,Thảo Lê,http://bvquan10.medinet.gov.vn/,,,,,,,,,,,,,,,,,,
25,ĐK BVQH12,Bệnh viện Quận 11,"Khoa Nội Thần kinh.
Khoa Cấp cứu. 
Khoa Nội tổng hợp.
Khoa phụ sản. 
Khoa Nhi. 
Khoa Ngoại Tổng quát.
Khoa Ngoại Chấn Thương Chỉnh Hình.
Khoa Y học cổ truyền - Phục hồi chức năng.","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM","Thứ 7: 7:00 AM - 11:30 AM
1:00 PM - 9:00 PM
Chủ nhật: 7:00 AM - 11:30 AM",,1,,Thảo Lê,http://benhvienquan11.vn/,,,,,,,,,,,,,,,,,,
26,ĐK BVQH13,Bệnh viện Quận 12,"Khoa cấp cứu- hồi sức tích cực- chống độc
Khoa khám bệnh ngoại trú
Khoa Nội tổng quát
Khoa nhi
Ngoại tổng quát- Khoa phẫu thuật và gây mê hồi sức
Y học cổ truyền- vật lý trị liệu
Sản phụ khoa
Xét nghiệm và chuẩn đoán hình ảnh
Thanh trùng và phòng chống nhiễm khuẩn
Khoa dược","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,Nghỉ cuối tuần,Thảo Lê,https://benhvienquan12.vn/index.php/gioi-thieu/cac-khoa,,,,,,,,,,,,,,,,,,
27,ĐK BVQH14,Bệnh viện huyện Bình Chánh,"Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Dược
Khoa Gây Mê
Khoa Ngoại Tổng Quát
Khoa Nội Tổng Quát
Khoa Phục Hồi Chức Năng
Khoa Tai Mũi Họng
Khoa Truyền Nhiễm
Khoa Ung Bướu
Khoa Xét Nghiệm
Khoa Y Học Cổ Truyền
Nha Khoa
Nhãn Khoa
Nhi Khoa
Sản Khoa","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,http://www.binhchanhhospital.vn/,,,,,,,,,,,,,,,,,,
28,ĐK BVQH15,Bệnh viện quận Bình Tân,"Khoa khám bệnh
Khoa cấp cứu
Hồi sức tích cực chống độc
Khoa nội tổng quát
Khoa ngoại
Tiêm chủng
Khoa Nhi
Khoa sản
Xét nghiệm
Khoa siêu âm
Khoa nội soi
Chẩn đoán hình ảnh","7:00 AM - 11:00 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,http://bvbinhtan.vn/,,,,,,,,,,,,,,,,,,
29,ĐK BVQH16,Bệnh viện quận Bình Thạnh,"Khoa Cận Lâm Sàng Tổng Quát
Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Chẩn Đoán Lâm Sàng
Khoa Dược
Khoa Ngoại Tổng Quát
Khoa Nội Tổng Quát
Khoa Nội Tuần Hoàn
Khoa Phục Hồi Chức Năng
Khoa Tai Mũi Họng
Khoa Thận - Nội tiết
Khoa Truyền Nhiễm
Khoa Xét Nghiệm
Khoa Y Học Cổ Truyền
Nha Khoa
Nhãn Khoa
Nhi Khoa
Sản Khoa","6:00 AM - 8:00 PM
",Cuối tuần: 6:00 AM - 4:00 PM,,1,Khám cả cuối tuần,Thảo Lê,http://bvbinhthanh.medinet.gov.vn/Default.aspx?desktop=1,,,,,,,,,,,,,,,,,,
30,ĐK BVQH17,Trung tâm Y tế Huyện Cần Giờ,"Khoa Kiểm soát bệnh tật
Khoa Y tế công cộng
Khoa An toàn thực phẩm
Khoa Dược","7:00 AM - 11:00 AM
1:00 PM - 4:30 PM",,,0,,Thảo Lê,http://trungtamytecangio.medinet.gov.vn/,,,,,,,,,,,,,,,,,,
31,ĐK BVQH18,Bệnh viện quận Gò Vấp,"Khoa Dược
Khoa Tiết chế dinh dưỡng
Khoa Tai – Mũi – Họng; Răng – Hàm – Mặt
Khoa Xét nghiệm; Chẩn đoán hình ảnh
Khoa Khoa Khám bệnh
Khoa Nội – Thận nhân tạo
Khoa Ngoại tổng hợp
Khoa Phẫu thuật – Gây mê hồi sức
Khoa Khoa Nhi
Khoa Phụ sản
Khoa Hồi sức cấp cứu
Khoa Y học cổ truyền
Khoa Nhiễm; Kiểm soát nhiễm khuẩn.
Khoa Chấn thương chỉnh hình
Khoa Mắt","7:00 AM - 11:00 AM
1:30 PM - 4:00 PM",,,1,"Khoa phụ sản chưa đáp ứng được những ca sinh khó, phức tạp",Thảo Lê,http://benhviengovap.vn/,,,,,,,,,,,,,,,,,,
32,ĐK BVQH19,Bệnh viện huyện Nhà Bè,"khoa nhi
khoa nội
khoa ngoại
khoa y học cổ truyền
khoa khám bệnh
khoa hồi sức",7:00 AM - 4:30 PM,,,1,Không làm cuối tuần,Thảo Lê,http://www.benhviennhabe.vn/,,,,,,,,,,,,,,,,,,
33,ĐK BVQH20,Bệnh viện quận Phú Nhuận,"Khoa cấp cứu
Khoa sản
Khám bệnh
Khoa nhi
Nội tổng hợp
Nội thận lọc máu
Liên khoa Mắt- Tai- Mũi- Họng
Ngoại khoa tổng hợp
Răng- Hàm- Mặt
Khoa dược
Chuẩn đoán hình ảnh
Khoa xét nghiệm","6:30 AM - 11:15 AM
12:45 PM - 4:15 PM",,,1,,Thảo Lê,http://bvquanphunhuan.medinet.gov.vn/,,,,,,,,,,,,,,,,,,
34,ĐK BVQH21,Bệnh viện quận Tân Bình,"Khoa cấp cứu – Hồi sức tích cực – Chống độc
Khoa răng hàm mặt
Phòng xét nghiệp
Khoa tai – mũi họng
Nội tổng hợp
Khoa siêu âm
Khoa Nhi
Chụp X-quang
Khoa dinh dưỡng
Khoa Ngoại gây mệ và hồi sức
Y học cổ chuyền
Khoa phụ sản
Khoa mắt","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,http://bvtb.org.vn/,,,,,,,,,,,,,,,,,,
35,ĐK BVQH22,Bệnh viện quận Tân Phú,"Khoa Cận Lâm Sàng Tổng Quát
Khoa Cấp Cứu
Khoa Chẩn Đoán Hình Ảnh
Khoa Chẩn Đoán Lâm Sàng
Khoa Dinh Dưỡng
Khoa Dược
Khoa Gây Mê
Khoa Ngoại Tổng Quát
Khoa Phục Hồi Chức Năng
Khoa Tai Mũi Họng
Khoa Truyền Nhiễm
Khoa Y Học Cổ Truyền
Nha Khoa
Nhãn Khoa
Nhi Khoa
Phụ Khoa
Sản Khoa",7:00 AM - 7:330 PM,Thứ bảy: 07:30 AM - 11:00 AM,,1,,Thảo Lê,http://benhvientanphu.vn/,,,,,,,,,,,,,,,,,,
36,ĐK BVQH23,Bệnh viện huyện Củ Chi,"Khoa Nội Tổng quát
Khoa Nội Thần kinh
Khoa Nội Tim mạch
Khoa Ngoại Thần kinh
Khoa Ngoại Chỉnh hình
Khoa Ngoại Tổng quát
Khoa Dược
Khoa Sản
Khoa Nhi
Khoa Thận Nhân tạo
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Kiểm soát nhiễm khuẩn
Khoa Dinh dưỡng tiết chế
Khoa Y học Cổ truyền
Khoa Khám bệnh
Khoa Phẫu thuật gây mê hồi sức
Khoa ICU (Hồi sức tích cực và chống độc)
Khoa Cấp cứu
Khoa Liên chuyên khoa.","7:00 AM - 11:30 AM
1:00 PM - 4:30 PM",,,1,,Thảo Lê,http://benhvienhuyencuchi.com/?page_id=590,,,,,,,,,,,,,,,,,,
37,ĐK BVTN1,Bệnh viện Quốc tế Mỹ,"Sản Phụ khoa
Nhi khoa
Khoa Ngoại tổng quát
Khoa Thận - Niệu - Nam khoa
Khoa Tiêu hóa - Gan mật",24/24,,,1,,Thảo Lê,https://aih.com.vn/,,,,,,,,,,,,,,,,,,
